entry_time,exit_time,direction,entry,exit,reason,pnl_usd,capital,risk_mult
2016-11-30 18:00:00,2016-11-30 18:15:00,Long,1173.58,1170.8655247080044,Stop Loss,-170.65440367025457,11206.305841013384,1.5
2016-12-01 03:15:00,2016-12-01 04:15:00,Long,1166.08,1168.14,Horizon,137.09135942211208,11343.397200435496,1.5
2016-12-14 23:15:00,2016-12-15 01:15:00,Long,1142.51,1142.35,Horizon,13.56574952625981,11356.962949961757,1.414207492805841
2016-12-15 02:15:00,2016-12-15 02:30:00,Long,1136.84,1135.9801381873447,Stop Loss,-170.35444424942634,11186.608505712331,1.5
2016-12-23 17:45:00,2016-12-23 18:00:00,Long,1135.42,1133.9414514733244,Stop Loss,-148.4424417204566,11038.166063991874,1.3269655556879096
2016-12-29 18:45:00,2016-12-29 19:45:00,Short,1158.35,1155.79,Horizon,174.67943419570872,11212.845498187582,1.5
2017-01-03 09:15:00,2017-01-03 10:15:00,Long,1152.62,1151.59,Horizon,-44.46430082082985,11168.381197366753,1.5
2017-01-11 18:15:00,2017-01-11 18:45:00,Long,1186.33,1183.0058291664216,Stop Loss,-92.13914487827742,11076.242052488475,1.5
2017-03-15 20:45:00,2017-03-15 21:45:00,Long,1216.29,1220.27,Horizon,151.9326780554675,11228.174730543942,1.5
2017-03-21 03:30:00,2017-03-21 04:00:00,Long,1229.5,1227.9476671515997,Stop Loss,-92.63244152698381,11135.542289016958,1.5
2017-03-27 17:00:00,2017-03-27 18:00:00,Long,1253.92,1255.7,Horizon,135.3987734507694,11270.941062467728,1.5
2017-05-01 04:30:00,2017-05-01 05:30:00,Long,1263.29,1264.07,Horizon,82.99976823810782,11353.940830705835,1.5
2017-05-03 23:00:00,2017-05-04 01:00:00,Long,1238.15,1238.37,Horizon,16.385981060042255,11370.326811765877,1.5
2017-06-02 16:00:00,2017-06-02 17:00:00,Short,1273.69,1274.46,Horizon,-29.504117039682995,11340.822694726194,1.5
2017-06-14 22:15:00,2017-06-14 23:15:00,Long,1257.86,1259.32,Horizon,77.517494269564,11418.340188995759,1.5
2017-06-14 23:15:00,2017-06-14 23:30:00,Long,1259.32,1261.6736566827813,Final TP,200.1337211425211,11618.47391013828,1.3215073161484077
2017-06-23 11:00:00,2017-06-23 11:15:00,Long,1257.54,1256.180500256987,Stop Loss,-144.43104289259338,11474.042867245687,1.2431154384790835
2017-08-18 10:00:00,2017-08-18 10:45:00,Long,1294.38,1292.767780554507,Stop Loss,-170.73439804666262,11303.308469199024,1.488005579393891
2017-08-18 23:15:00,2017-08-18 23:45:00,Long,1285.69,1284.5322656608967,Stop Loss,-169.54962703798535,11133.75884216104,1.5
2017-08-25 17:45:00,2017-08-25 18:00:00,Long,1290.32,1293.6442538549154,Final TP,179.81034525292384,11313.569187413963,1.5
2017-08-29 01:00:00,2017-08-29 01:15:00,Short,1317.63,1319.497925690792,Stop Loss,-169.70353781120943,11143.865649602754,1.5
2017-09-15 10:00:00,2017-09-15 11:00:00,Long,1325.55,1326.84,Horizon,146.98398782782212,11290.849637430576,1.3828524584366322
2017-09-25 19:00:00,2017-09-25 19:15:00,Short,1307.98,1309.76070275565,Stop Loss,-169.36274456145864,11121.486892869118,1.5
2017-09-29 23:45:00,2017-10-02 01:00:00,Long,1279.37,1277.87993724744,Stop Loss,-166.82230339303675,10954.66458947608,1.5
2017-11-10 18:30:00,2017-11-10 19:30:00,Short,1275.51,1276.0,Horizon,-48.29857835894274,10906.366011117138,1.5
